object,zone,it,tobs,apobs,e1,e2,e3,bn1,bn2,bn3,rms_baseline,s11,s21,s31,s12,s22,s32,s13,s23,s33
42928                         , 3,  4,    1.0114,   5418.9260,  0.280294,  0.286411,  0.292528,   35.6864,   81.1953,  126.7041,    1.155043,     5218.1157,     5373.6329,     5531.8356,     5228.2604,     5383.7851,     5541.9976,     5231.1170,     5386.6439,     5544.8592,
42928                         , 3,  5,    2.0208,   5409.7341,  0.280294,  0.286411,  0.292528,   35.6864,   81.1953,  126.7041,    1.155043,     5200.0648,     5355.5700,     5513.7566,     5220.2989,     5375.8167,     5534.0205,     5225.9950,     5381.5166,     5539.7255,
42928                         , 3,  6,    2.5798,   5403.9001,  0.280294,  0.286411,  0.292528,   35.6864,   81.1953,  126.7041,    1.155043,     5190.1013,     5345.6020,     5503.7816,     5215.9175,     5371.4328,     5529.6331,     5223.1841,     5378.7040,     5536.9104,
42928                         , 3,  7,    2.8200,   5402.0723,  0.280294,  0.286411,  0.292528,   35.6864,   81.1953,  126.7041,    1.155043,     5185.8241,     5341.3230,     5499.5000,     5214.0394,     5369.5537,     5527.7527,     5221.9808,     5377.5000,     5535.7056,
42928                         , 3,  8,    3.0925,   5399.6294,  0.280294,  0.286411,  0.292528,   35.6864,   81.1953,  126.7041,    1.155043,     5180.9741,     5336.4714,     5494.6455,     5211.9116,     5367.4251,     5525.6227,     5220.6186,     5376.1373,     5534.3420,
42928                         , 3,  9,    3.1221,   5399.5233,  0.280294,  0.286411,  0.292528,   35.6864,   81.1953,  126.7041,    1.155043,     5180.4470,     5335.9440,     5494.1179,     5211.6805,     5367.1939,     5525.3914,     5220.4707,     5375.9893,     5534.1940,
42928                         , 3, 10,    3.7206,   5394.0270,  0.280294,  0.286411,  0.292528,   35.6864,   81.1953,  126.7041,    1.155043,     5169.7971,     5325.2908,     5483.4589,     5207.0145,     5362.5264,     5520.7213,     5217.4873,     5373.0051,     5531.2083,
42928                         , 3, 11,    3.9336,   5392.7990,  0.280294,  0.286411,  0.292528,   35.6864,   81.1953,  126.7041,    1.155043,     5166.0060,     5321.4987,     5479.6647,     5205.3553,     5360.8666,     5519.0607,     5216.4273,     5371.9449,     5530.1476,
42928                         , 3, 12,    4.1319,   5391.1088,  0.280294,  0.286411,  0.292528,   35.6864,   81.1953,  126.7041,    1.155043,     5162.4765,     5317.9682,     5476.1324,     5203.8111,     5359.3221,     5517.5153,     5215.4412,     5370.9586,     5529.1609,
42928                         , 3, 13,    4.4757,   5388.0899,  0.280294,  0.286411,  0.292528,   35.6864,   81.1953,  126.7041,    1.155043,     5156.3532,     5311.8432,     5470.0044,     5201.1334,     5356.6437,     5514.8356,     5213.7319,     5369.2490,     5527.4507,
42928                         , 3, 14,    4.7606,   5385.5067,  0.280294,  0.286411,  0.292528,   35.6864,   81.1953,  126.7041,    1.155043,     5151.2746,     5306.7634,     5464.9222,     5198.9138,     5354.4234,     5512.6142,     5212.3155,     5367.8324,     5526.0335,
