day,apogee_alt_km,sma_km,ecc
   45.9020,   6096.1948,   9506.8566,  0.312140
   46.0088,   6095.7919,   9506.6631,  0.312125
   46.1156,   6095.3895,   9506.4698,  0.312109
   46.2223,   6094.9875,   9506.2767,  0.312093
   46.3291,   6094.5860,   9506.0838,  0.312078
   46.4359,   6094.1850,   9505.8910,  0.312062
   46.5426,   6093.7846,   9505.6983,  0.312047
   46.6494,   6093.3846,   9505.5059,  0.312031
   46.7561,   6092.9853,   9505.3136,  0.312016
   46.8629,   6092.5864,   9505.1214,  0.312000
   46.9696,   6092.1882,   9504.9294,  0.311985
   47.0763,   6091.7905,   9504.7376,  0.311970
   47.1831,   6091.3934,   9504.5459,  0.311954
   47.2898,   6090.9969,   9504.3543,  0.311939
   47.3965,   6090.6010,   9504.1629,  0.311924
   47.5032,   6090.2057,   9503.9716,  0.311909
   47.6100,   6089.8111,   9503.7804,  0.311893
   47.7167,   6089.4171,   9503.5894,  0.311878
   47.8234,   6089.0237,   9503.3985,  0.311863
   47.9301,   6088.6309,   9503.2078,  0.311848
   48.0368,   6088.2388,   9503.0171,  0.311833
   48.1435,   6087.8472,   9502.8265,  0.311818
   48.2502,   6087.4563,   9502.6361,  0.311804
   48.3569,   6087.0660,   9502.4457,  0.311789
   48.4636,   6086.6763,   9502.2554,  0.311774
   48.5703,   6086.2873,   9502.0653,  0.311759
   48.6770,   6085.8988,   9501.8752,  0.311745
   48.7837,   6085.5109,   9501.6851,  0.311730
   48.8904,   6085.1237,   9501.4952,  0.311716
   48.9971,   6084.7370,   9501.3053,  0.311701
   49.1037,   6084.3510,   9501.1155,  0.311687
   49.2104,   6083.9655,   9500.9257,  0.311672
   49.3171,   6083.5806,   9500.7360,  0.311658
   49.4237,   6083.1962,   9500.5464,  0.311644
   49.5304,   6082.8124,   9500.3568,  0.311630
   49.6371,   6082.4292,   9500.1673,  0.311615
   49.7437,   6082.0465,   9499.9778,  0.311601
   49.8504,   6081.6643,   9499.7883,  0.311587
   49.9570,   6081.2826,   9499.5988,  0.311573
   50.0637,   6080.9015,   9499.4094,  0.311559
   50.1703,   6080.5208,   9499.2200,  0.311545
   50.2770,   6080.1406,   9499.0307,  0.311531
   50.3836,   6079.7609,   9498.8413,  0.311518
   50.4902,   6079.3816,   9498.6520,  0.311504
   50.5969,   6079.0027,   9498.4626,  0.311490
   50.7035,   6078.6242,   9498.2733,  0.311476
   50.8101,   6078.2462,   9498.0840,  0.311463
   50.9168,   6077.8685,   9497.8947,  0.311449
   51.0234,   6077.4912,   9497.7053,  0.311435
   51.1300,   6077.1142,   9497.5160,  0.311422
   51.2366,   6076.7376,   9497.3266,  0.311408
   51.3432,   6076.3612,   9497.1372,  0.311395
   51.4498,   6075.9852,   9496.9478,  0.311381
   51.5564,   6075.6094,   9496.7584,  0.311368
   51.6630,   6075.2339,   9496.5689,  0.311355
